SERM,medium_only,cells_only,dmso_control,concentration_nM,plate_number,absorbance_550,absorbance_690,subtracted_abs
rkl04-24,no,no,no,100,1,0.026,-0.038,0.064
rkl04-24,no,no,no,100,1,0.032,-0.043,0.075
rkl04-24,no,no,no,100,1,0.038,-0.044,0.082
rkl04-24,no,no,no,100,1,0.031,-0.043,0.074
rkl04-24,no,no,no,100,1,0.044,-0.03,0.074
rkl04-24,no,no,no,50,1,0.044,-0.035,0.079
rkl04-24,no,no,no,50,1,0.057,-0.024,0.081
rkl04-24,no,no,no,50,1,0.036,-0.039,0.075
rkl04-24,no,no,no,50,1,0.03,-0.041,0.071
rkl04-24,no,no,no,50,1,0.048,-0.035,0.083
rkl04-24,no,no,no,12.25,1,0.188,0.12,0.068
rkl04-24,no,no,no,12.25,1,0.053,-0.032,0.085
rkl04-24,no,no,no,12.25,1,0.046,-0.034,0.08
rkl04-24,no,no,no,12.25,1,0.042,-0.025,0.067
rkl04-24,no,no,no,12.25,1,0.033,-0.041,0.074
rkl04-24,no,no,no,3.125,1,0.052,-0.034,0.086
rkl04-24,no,no,no,3.125,1,0.045,-0.04,0.085
rkl04-24,no,no,no,3.125,1,0.041,-0.045,0.086
rkl04-24,no,no,no,3.125,1,0.044,-0.034,0.078
rkl04-24,no,no,no,3.125,1,-0.007,-0.043,0.036
E2,no,no,no,100,1,-0.04,-0.039,-0.001
E2,no,no,no,100,1,-0.084,-0.044,-0.04
E2,no,no,no,100,1,0.067,0.073,-0.006
E2,no,no,no,3.125,1,-0.058,-0.045,-0.013
E2,no,no,no,3.125,1,-0.058,-0.043,-0.015
E2,no,no,no,3.125,1,-0.051,-0.036,-0.015
4OHT,no,no,no,100,1,0.025,-0.05,0.075
4OHT,no,no,no,100,1,0.039,-0.037,0.076
4OHT,no,no,no,100,1,0.031,-0.034,0.065
4OHT,no,no,no,3.125,1,-0.003,-0.04,0.037
4OHT,no,no,no,3.125,1,-0.004,-0.039,0.035
4OHT,no,no,no,3.125,1,0.123,0.116,0.007
rkl04-24,no,no,yes,hi,1,0.154,0.074,0.08
rkl04-24,no,no,yes,hi,1,0.177,0.124,0.053
