SERM,medium_only,cells_only,dmso_control,concentration_nM,plate_number,absorbance_550,Absorbance_600
rkl04-24,no ,no,no,100,1,1.4014,1.3266
rkl04-24,no ,no ,no,100,1,1.9449,1.8068
rkl04-24,no ,no ,no,100,1,2.194,2.0587
rkl04-24,no ,no ,no,100,1,1.8707,1.7958
rkl04-24,no ,no ,no,100,1,1.1556,1.0904
rkl04-24,no ,no ,no,100,1,1.3162,1.2088
rkl04-24,no ,no ,no,100,1,1.1357,1.0987
rkl04-24,no ,no ,no,50,1,1.4064,1.3035
rkl04-24,no ,no ,no,50,1,2.1497,2.0048
rkl04-24,no ,no ,no,50,1,2.1425,1.9669
rkl04-24,no ,no ,no,50,1,2.0159,1.9236
rkl04-24,no ,no ,no,50,1,1.7169,1.5835
rkl04-24,no ,no ,no,50,1,1.8647,1.7408
rkl04-24,no ,no ,no,50,1,0.9889,0.9174
rkl04-24,no ,no ,no,25,1,1.4554,1.3911
rkl04-24,no ,no ,no,25,1,1.279,1.2076
rkl04-24,no ,no ,no,25,1,1.6937,1.598
rkl04-24,no ,no ,no,25,1,2.0598,1.8954
rkl04-24,no ,no ,no,25,1,1.9514,1.7958
rkl04-24,no ,no ,no,25,1,1.7681,1.6388
rkl04-24,no ,no ,no,25,1,0.9479,0.943
rkl04-24,no ,no ,no,12.5,1,1.1554,1.1194
rkl04-24,no ,no ,no,12.5,1,1.3203,1.252
rkl04-24,no ,no ,no,12.5,1,1.4529,1.3778
rkl04-24,no ,no ,no,12.5,1,1.8169,1.6651
rkl04-24,no ,no ,no,12.5,1,1.319,1.2489
rkl04-24,no ,no ,no,12.5,1,1.9485,1.7894
rkl04-24,no ,no ,no,12.5,1,1.7891,1.6567
rkl04-24,no ,no ,no,6.25,1,1.3365,1.0555
rkl04-24,no ,no ,no,6.25,1,1.9404,1.7202
rkl04-24,no ,no ,no,6.25,1,1.3966,1.8042
rkl04-24,no ,no ,no,6.25,1,1.9964,1.294
rkl04-24,no ,no ,no,6.25,1,1.9641,1.8278
rkl04-24,no ,no ,no,6.25,1,1.8559,1.7886
rkl04-24,no ,no ,no,6.25,1,1.1365,1.2539
rkl04-24,no ,no ,no,3.125,1,0.9927,1.1067
rkl04-24,no ,no ,no,3.125,1,1.933,1.863
rkl04-24,no ,no ,no,3.125,1,1.8456,1.8755
rkl04-24,no ,no ,no,3.125,1,1.9444,1.7924
rkl04-24,no ,no ,no,3.125,1,2.0221,1.7219
rkl04-24,no ,no ,no,3.125,1,2.0181,1.7802
rkl04-24,no ,no ,no,3.125,1,1.1395,0.9174
rkl04-24,no ,no ,yes,low,1,0.7887,0.7809
rkl04-24,no ,no ,yes,hi,1,1.6433,1.5329
rkl04-24,no ,yes,no,0,1,1.1188,0.8118
rkl04-24,no ,yes,no,0,1,0.8404,1.0422
rkl04-24,yes,no,no,0,1,1.1282,1.0892
rkl04-24,no ,no,no,100,2,1.7827,1.6621
rkl04-24,no ,no,no,100,2,1.3381,1.2464
rkl04-24,no ,no,no,100,2,1.9064,1.7571
rkl04-24,no ,no,no,100,2,2.1211,1.9544
rkl04-24,no ,no,no,100,2,1.3339,1.4443
rkl04-24,no ,no,no,100,2,1.5482,1.2506
rkl04-24,no ,no,no,100,2,1.5711,1.4979
rkl04-24,no ,no,no,50,2,1.0278,1.3865
rkl04-24,no ,no,no,50,2,1.8215,1.9303
rkl04-24,no ,no,no,50,2,1.8746,1.8032
rkl04-24,no ,no,no,50,2,1.7253,1.5737
rkl04-24,no ,no,no,50,2,2.0899,1.7865
rkl04-24,no ,no,no,50,2,1.9675,1.7225
rkl04-24,no ,no,no,50,2,1.4885,0.9947
rkl04-24,no ,no,no,25,2,1.7746,0.9957
rkl04-24,no ,no,no,25,2,1.8194,1.0226
rkl04-24,no ,no,no,25,2,1.8233,1.9583
rkl04-24,no ,no,no,25,2,1.8567,1.7239
rkl04-24,no ,no,no,25,2,2.0615,1.7214
rkl04-24,no ,no,no,25,2,1.0259,1.6693
rkl04-24,no ,no,no,25,2,1.0366,1.6304
rkl04-24,no ,no,no,12.5,2,1.0538,1.0165
rkl04-24,no ,no,no,12.5,2,1.2532,1.1817
rkl04-24,no ,no,no,12.5,2,1.4901,1.4059
rkl04-24,no ,no,no,12.5,2,1.9054,1.7467
rkl04-24,no ,no,no,12.5,2,1.5204,1.4055
rkl04-24,no ,no,no,12.5,2,1.9438,1.8114
rkl04-24,no ,no,no,12.5,2,2.3464,2.1579
rkl04-24,no ,no,no,6.25,2,1.6692,1.5269
rkl04-24,no ,no,no,6.25,2,1.7773,1.6231
rkl04-24,no ,no,no,6.25,2,2.0303,1.8874
rkl04-24,no ,no,no,6.25,2,1.9565,1.2684
rkl04-24,no ,no,no,6.25,2,1.385,1.7063
rkl04-24,no ,no,no,6.25,2,1.8207,1.2872
rkl04-24,no ,no,no,6.25,2,1.3123,1.8364
rkl04-24,no ,no,no,3.125,2,1.0599,1.0441
rkl04-24,no ,no,no,3.125,2,1.8233,2.1338
rkl04-24,no ,no,no,3.125,2,2.2979,1.6918
rkl04-24,no ,no,no,3.125,2,2.4917,2.3524
rkl04-24,no ,no,no,3.125,2,2.2193,2.0859
rkl04-24,no ,no,no,3.125,2,1.9649,1.7971
rkl04-24,no ,no,no,3.125,2,1.5975,1.4829
rkl04-24,no ,no,yes,hi,2,1.4111,1.3158
rkl04-24,no ,no,yes,low,2,1.0261,0.9985
rkl04-24,no ,yes,no,0,2,1.2753,1.3088
rkl04-24,no ,yes,no,0,2,1.3957,1.2492
rkl04-24,yes,no,no,0,2,1.0395,1.0279
rkl04-24,no,no,no,100,3,1.7672,1.6532
