SERM,medium_only,dmso_control,cells_only,concentration ,absorbance (550nm),medium plate averages,normalized,plate_number
rkl04-24,yes,no,no,0,0,0,0,1
rkl04-24,yes,no,no,0,-0.007,-0.053666667,0.046666667,1
rkl04-24,yes,no,no,0,-0.001,-0.063333333,0.062333333,1
rkl04-24,yes,no,no,0,0.139,0.103666667,0.035333333,1
rkl04-24,no,yes,no,hi,0.088,-0.065666667,0.153666667,1
rkl04-24,no,yes,no,hi,0.075,-0.064666667,0.139666667,1
rkl04-24,no,yes,no,hi,0.249,0.125,0.124,1
rkl04-24,no,yes,no,med,0.071,-0.065666667,0.136666667,1
rkl04-24,no,yes,no,med,0.067,-0.066666667,0.133666667,1
rkl04-24,no,yes,no,med,0.21,0.032,0.178,1
rkl04-24,no,yes,no,low,0.069,-0.067666667,0.136666667,1
rkl04-24,no,yes,no,low,0.086,-0.023,0.109,1
rkl04-24,no,yes,no,low,0.061,-0.062333333,0.123333333,1
rkl04-24,no,no,no,20,0.025,-0.067666667,0.092666667,1
rkl04-24,no,no,no,20,0.027,-0.066333333,0.093333333,1
rkl04-24,no,no,no,20,0.025,-0.063666667,0.088666667,1
rkl04-24,no,no,no,20,0.018,-0.066,0.084,1
rkl04-24,no,no,no,20,0.025,-0.064333333,0.089333333,1
rkl04-24,no,no,no,10,0.056,-0.064,0.12,1
rkl04-24,no,no,no,10,0.088,-0.065,0.153,1
rkl04-24,no,no,no,10,0.062,-0.067,0.129,1
rkl04-24,no,no,no,10,0.058,-0.064333333,0.122333333,1
rkl04-24,no,no,no,10,0.055,-0.062666667,0.117666667,1
rkl04-24,no,no,no,5,0.213,0.063333333,0.149666667,1
rkl04-24,no,no,no,5,0.221,0.114333333,0.106666667,1
rkl04-24,no,no,no,5,0.091,-0.070666667,0.161666667,1
rkl04-24,no,no,no,5,0.062,-0.063333333,0.125333333,1
rkl04-24,no,no,no,5,0.063,-0.065333333,0.128333333,1
rkl04-24,no,no,no,1,0.234,0.100333333,0.133666667,1
rkl04-24,no,no,no,1,0.065,-0.062,0.127,1
rkl04-24,no,no,no,1,0.065,-0.057,0.122,1
rkl04-24,no,no,no,1,0.098,-0.067333333,0.165333333,1
rkl04-24,no,no,no,1,0.056,-0.065333333,0.121333333,1
