SERM,medium_only,dmso_control,cells_only,concentration,absorbance_550,medium_plate,normalized,plate_number
rkl02-82,yes,no,no,0,0,0,0,1
rkl02-82,yes,no,no,0,-0.031,-0.053666667,0.022666667,1
rkl02-82,yes,no,no,0,-0.033,-0.063333333,0.030333333,1
rkl02-82,yes,no,no,0,0.036,0.103666667,-0.067666667,1
rkl02-82,no,yes,no,hi,-0.023,-0.065666667,0.042666667,1
rkl02-82,no,yes,no,hi,-0.022,-0.064666667,0.042666667,1
rkl02-82,no,yes,no,hi,0.119,0.125,-0.006,1
rkl02-82,no,yes,no,med,-0.024,-0.065666667,0.041666667,1
rkl02-82,no,yes,no,med,-0.019,-0.066666667,0.047666667,1
rkl02-82,no,yes,no,med,0.09,0.032,0.058,1
rkl02-82,no,yes,no,low,-0.025,-0.067666667,0.042666667,1
rkl02-82,no,yes,no,low,-0.012,-0.023,0.011,1
rkl02-82,no,yes,no,low,-0.013,-0.062333333,0.049333333,1
rkl02-82,no,no,no,20,-0.051,-0.067666667,0.016666667,1
rkl02-82,no,no,no,20,-0.047,-0.066333333,0.019333333,1
rkl02-82,no,no,no,20,-0.049,-0.063666667,0.014666667,1
rkl02-82,no,no,no,20,-0.055,-0.066,0.011,1
rkl02-82,no,no,no,20,-0.037,-0.064333333,0.027333333,1
rkl02-82,no,no,no,10,-0.044,-0.064,0.02,1
rkl02-82,no,no,no,10,-0.043,-0.065,0.022,1
rkl02-82,no,no,no,10,-0.032,-0.067,0.035,1
rkl02-82,no,no,no,10,-0.032,-0.064333333,0.032333333,1
rkl02-82,no,no,no,10,-0.028,-0.062666667,0.034666667,1
rkl02-82,no,no,no,5,0.061,0.063333333,-0.002333333,1
rkl02-82,no,no,no,5,0.117,0.114333333,0.002666667,1
rkl02-82,no,no,no,5,-0.022,-0.070666667,0.048666667,1
rkl02-82,no,no,no,5,-0.021,-0.063333333,0.042333333,1
rkl02-82,no,no,no,5,-0.022,-0.065333333,0.043333333,1
rkl02-82,no,no,no,1,-0.091,0.100333333,-0.191333333,1
rkl02-82,no,no,no,1,-0.001,-0.062,0.061,1
rkl02-82,no,no,no,1,-0.01,-0.057,0.047,1
rkl02-82,no,no,no,1,-0.019,-0.067333333,0.048333333,1
rkl02-82,no,no,no,1,-0.019,-0.065333333,0.046333333,1
rkl02-82,no,no,no,0.5,-0.015,-0.063666667,0.048666667,1
rkl02-82,no,no,no,0.5,-0.017,-0.066,0.049,1
rkl02-82,no,no,no,0.5,-0.019,-0.067333333,0.048333333,1
rkl02-82,no,no,no,0.5,-0.021,-0.067333333,0.046333333,1
rkl02-82,no,no,no,0.5,-0.023,-0.061666667,0.038666667,1
rkl02-82,no,no,no,0.1,-0.01,-0.065666667,0.055666667,1
rkl02-82,no,no,no,0.1,-0.021,-0.066333333,0.045333333,1
rkl02-82,no,no,no,0.1,-0.019,-0.066666667,0.047666667,1
rkl02-82,no,no,no,0.1,-0.017,-0.066333333,0.049333333,1
rkl02-82,no,no,no,0.1,-0.021,-0.064666667,0.043666667,1
rkl02-82,no,no,no,0.02,-0.017,-0.065,0.048,1
rkl02-82,no,no,no,0.02,-0.015,-0.064666667,0.049666667,1
rkl02-82,no,no,no,0.02,-0.016,-0.067,0.051,1
rkl02-82,no,no,yes,0,-0.013,-0.064666667,0.051666667,1
rkl02-82,no,no,yes,0,0.06,0.096,-0.036,1
rkl04-24,yes,no,no,0,0,0,0,1
rkl04-24,yes,no,no,0,0.007,-0.053666667,0.060666667,1
rkl04-24,yes,no,no,0,-0.011,-0.063333333,0.052333333,1
rkl04-24,yes,no,no,0,0.113,0.103666667,0.009333333,1
rkl04-24,no,yes,no,hi,0.009,-0.065666667,0.074666667,1
rkl04-24,no,yes,no,hi,0.005,-0.064666667,0.069666667,1
rkl04-24,no,yes,no,hi,0.142,0.125,0.017,1
rkl04-24,no,yes,no,med,0.009,-0.065666667,0.074666667,1
rkl04-24,no,yes,no,med,0.005,-0.066666667,0.071666667,1
rkl04-24,no,yes,no,med,0.142,0.032,0.11,1
rkl04-24,no,yes,no,low,0.015,-0.067666667,0.082666667,1
rkl04-24,no,yes,no,low,0.018,-0.023,0.041,1
rkl04-24,no,yes,no,low,0.153,-0.062333333,0.215333333,1
rkl04-24,no,no,no,20,-0.023,-0.067666667,0.044666667,1
rkl04-24,no,no,no,20,-0.017,-0.066333333,0.049333333,1
rkl04-24,no,no,no,20,-0.016,-0.063666667,0.047666667,1
rkl04-24,no,no,no,20,-0.019,-0.066,0.047,1
rkl04-24,no,no,no,20,-0.014,-0.064333333,0.050333333,1
rkl04-24,no,no,no,10,0,-0.064,0.064,1
rkl04-24,no,no,no,10,0.004,-0.065,0.069,1
rkl04-24,no,no,no,10,0.012,-0.067,0.079,1
rkl04-24,no,no,no,10,0.004,-0.064333333,0.068333333,1
rkl04-24,no,no,no,10,0.01,-0.062666667,0.072666667,1
rkl04-24,no,no,no,5,0.099,0.063333333,0.035666667,1
rkl04-24,no,no,no,5,0.131,0.114333333,0.016666667,1
rkl04-24,no,no,no,5,0.022,-0.070666667,0.092666667,1
rkl04-24,no,no,no,5,0.016,-0.063333333,0.079333333,1
