SERM,medium_only,cells_only,dmso_control,concentration_nM,plate_number,absorbance_550,absorbance_690,subtracted_abs
4ht,no,no,no,100,1,0.049,-0.014,0.063
4ht,no,no,no,100,1,0.096,-0.008,0.104
4ht,no,no,no,100,1,0.022,0.009,0.013
4ht,no,no,no,100,1,0.106,-0.014,0.12
4ht,no,no,no,100,1,0.069,-0.006,0.075
4ht,no,no,no,100,1,0.185,0.008,0.177
4ht,no,no,no,100,1,0.103,0.121,-0.018
4ht,no,no,no,50,1,0.064,-0.011,0.075
4ht,no,no,no,50,1,0.117,0.005,0.112
4ht,no,no,no,50,1,0.107,0.003,0.104
4ht,no,no,no,50,1,0.09,-0.002,0.092
4ht,no,no,no,50,1,-0.047,-0.031,-0.016
4ht,no,no,no,50,1,0.118,0.005,0.113
4ht,no,no,no,50,1,0.175,0.119,0.056
4ht,no,no,no,12.25,1,0.059,0.024,0.035
4ht,no,no,no,12.25,1,0.097,-0.002,0.099
4ht,no,no,no,12.25,1,0.092,-0.006,0.098
4ht,no,no,no,12.25,1,0.114,0.002,0.112
4ht,no,no,no,12.25,1,0.077,0,0.077
4ht,no,no,no,12.25,1,0.085,0.013,0.072
4ht,no,no,no,12.25,1,0.123,-0.008,0.131
4ht,no,no,no,3.125,1,0.065,0.001,0.064
4ht,no,no,no,3.125,1,0.089,-0.005,0.094
4ht,no,no,no,3.125,1,0.124,0.009,0.115
4ht,no,no,no,3.125,1,0.123,0.007,0.116
4ht,no,no,no,3.125,1,0.073,-0.006,0.079
4ht,no,no,no,3.125,1,0.08,-0.003,0.083
4ht,no,no,no,3.125,1,0.152,0.021,0.131
4ht,no,no,yes,hi,1,0.164,0.124,0.04
4ht,no,no,yes,hi,1,0.131,0.05,0.081
4ht,no,no,yes,hi,1,0.159,-0.01,0.169
4ht,no,no,yes,hi,1,0.082,-0.003,0.085
4ht,no,no,yes,hi,1,0.049,-0.022,0.071
4ht,no,no,yes,hi,1,0.066,-0.007,0.073
4ht,no,no,yes,hi,1,0.051,-0.011,0.062
4ht,no,no,yes,low,1,0.061,-0.011,0.072
4ht,no,no,yes,low,1,0.054,-0.006,0.06
4ht,no,no,yes,low,1,0.083,-0.015,0.098
4ht,no,no,yes,low,1,0.07,0,0.07
4ht,no,no,yes,low,1,0.065,-0.014,0.079
4ht,no,no,yes,low,1,0.036,-0.02,0.056
4ht,no,no,yes,low,1,0.036,-0.01,0.046
4ht,no,yes,no,0,1,0.129,-0.031,0.16
4ht,no,yes,no,0,1,0.112,0.089,0.023
4ht,yes,no,no,0,1,0,0,0
4ht,yes,no,no,0,1,0.004,0.007,-0.003
4ht,yes,no,no,0,1,-0.026,-0.017,-0.009
4ht,yes,no,no,0,1,0.072,0.083,-0.011
4ht,no,no,no,100,2,0.047,-0.013,0.06
4ht,no,no,no,100,2,0.057,-0.016,0.073
4ht,no,no,no,100,2,0.06,-0.019,0.079
4ht,no,no,no,100,2,0.046,-0.017,0.063
4ht,no,no,no,100,2,0.038,-0.019,0.057
4ht,no,no,no,100,2,0.063,0.096,-0.033
4ht,no,no,no,100,2,0.134,-0.007,0.141
4ht,no,no,no,50,2,0.051,-0.011,0.062
4ht,no,no,no,50,2,0.045,-0.024,0.069
4ht,no,no,no,50,2,0.064,-0.01,0.074
4ht,no,no,no,50,2,0.055,-0.02,0.075
4ht,no,no,no,50,2,0.044,-0.016,0.06
4ht,no,no,no,50,2,0.053,-0.013,0.066
4ht,no,no,no,50,2,0.167,0.115,0.052
4ht,no,no,no,12.25,2,0.156,0.105,0.051
4ht,no,no,no,12.25,2,0.037,-0.019,0.056
4ht,no,no,no,12.25,2,0.036,-0.021,0.057
4ht,no,no,no,12.25,2,0.074,-0.007,0.081
4ht,no,no,no,12.25,2,0.06,-0.011,0.071
4ht,no,no,no,12.25,2,0.062,-0.01,0.072
4ht,no,no,no,12.25,2,0.063,-0.01,0.073
4ht,no,no,no,3.125,2,0.04,-0.018,0.058
4ht,no,no,no,3.125,2,0.046,-0.022,0.068
4ht,no,no,no,3.125,2,0.063,-0.016,0.079
4ht,no,no,no,3.125,2,0.058,-0.011,0.069
4ht,no,no,no,3.125,2,0.041,-0.025,0.066
